研报名称,机构名称,发布时间,行业,研报地址
中国能源与排放趋势2025年12月简报,能源与清洁空气研究中心,2026-01-04 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=dvA/5mhFfjma0zHhhOhvWTwATpkgTrUXY5aLKjtnM78=
中国电力统计年鉴2024,中国电力企业联合会,2025-12-31 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=0UMGqDnZbBqL2Ad6MHdmD1UDEOpVtHTzAHcscjiHTMk=
可控核聚变：“人造太阳”产业化进程提速，未来产业价值与能源格局将重塑,大公国际资信评估,2025-12-25 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=MKF7cC+MZ9vDOQWsqD7ZgnmKNJ5e0IVxLyeA2cs2yjE=
综合能源系统的做功域和做功能力,天津大学,2025-12-22 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/3mWTBCzbS3S7/Zc46MWFKbufbhrw9hB0JT9qsk6plg=
2026年公用事业行业年度策略：震荡的过渡，明朗的方向,华源证券,2025-12-20 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=IaJ4FhBHGwJ2vGIX0wlgwdoB10PCC5ZW64ot6XX6hKs=
垃圾焚烧行业报告：把握出海与IDC绿电协同发展机遇,东兴证券,2025-12-18 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=i7PkX0DkjsucpjczEBFGaZsVNkP7YlGJE/VllaSc15w=
大能源行业2025年第50周周报：BEST项目招投标密集公示 关注核聚变供应链发展,华源证券,2025-12-14 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=UuMiCa57Dzl2XEUqskt5gixlHNqROu+W4IFWbvLFXk4=
电网&工控2026年度策略报告：AIDC&机器人共享AI赋能，电力设备出海拥抱全球Supercycle,东吴证券,2025-12-14 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=UuMiCa57Dzl2XEUqskt5guOcpOSH5ng6h707I8mHPmY=
ESG行业周报：两部门强化绿色金融供给，划定三类重点支持方向,信达证券,2025-12-14 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sl/8UiogOkeePP3w8x+zHZEeRid205KpLW4+dJJiDy4=
公用事业行业2026年年度策略：十五五逸兴遄飞，新常态俊采星驰,东吴证券,2025-12-13 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sl/8UiogOkeePP3w8x+zHRG/o4jk1OZFVzfDpWOyGsI=
大能源行业2025年第49周周报：SAF政策履约倒计时 未来半年价格易涨难跌,华源证券,2025-12-09 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=MrPjTj36C6tPERUlBhSkPLGodHhzztM+lPVDCh2YmFY=
高压电缆线路空地隧全域覆盖无人化巡视技术及应用,广东电网广州供电局,2025-11-30 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Z4IPzH8gCCywQFj2lVXNWy99B+QqFBsduOSqmVpRg7k=
电力市场改革和新能源高质量发展,中邮证券,2025-11-24 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=00ylwMhJiAk1Ftiu8lE6dYUsAcwQSqRbMvlccgDfMzU=
公用事业行业点评报告：建立完善煤炭与新能源融合发展机制，矿山与新能源协同发展推进,东吴证券,2025-11-10 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+Dxd2Ka/3MSUM9SVMKWHFYGtc1pbn6c+6wN3i38mjtM=
中国光伏发电应用国家调查报告2024,国际能源署,2025-10-30 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=3XOE9tuQCeYEKPg1b8QemF/4aDreadqLlIme/Q4Mvb0=
2026年电网设备行业景气有望持续提升,第一创业,2025-10-24 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=uCx8HzdfbCuayqcz6MlfOaPTxRqdsmuscjFZfQcxyws=
2025年国网第三批计量设备招标点评：技术升级明确，新标准电表已开始招标,民生证券,2025-10-24 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=uCx8HzdfbCuayqcz6MlfOV1J/X64UC6d/91ZtsZ3TWE=
大能源行业2025年第42周周报：电力环保业绩前瞻 关注油气管网及设备出口,华源证券,2025-10-20 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=MC+x3QEEwF2qLV6k+MR56oFdAdDgX6+DrBWtmYz2GiU=
公用事业行业专题报告：全球脱碳催化绿醇需求放量 关注绿醇供应商与设备投资机遇,华源证券,2025-10-15 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Iot8l90ZfL+LXag0mE/ME+XkraIkGLHOAh+zUOQzo0Y=
面向新一代电网需求的电力电子技术与装备,清华大学,2025-10-13 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=qfXHKU/bUZjBoEO2Hcm79wB2i6JxL6RSMiVqmVJ42cU=
大能源行业2025年第40周周报：垃圾发电三季度项目中标透视，中国废弃油脂价格攀上近三年高点,华源证券,2025-10-09 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cv1VqboGSWu8DpDt2CfSfSLhvXQ18sr3TabkYN5a3ig=
公用环保2025年10月投资策略：中国船燃成功完成浙江省首单船用绿色甲醇加注业务，关注四季度聚变装备招标需求释放,国信证券,2025-10-09 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=cv1VqboGSWu8DpDt2CfSfa20FtkQEDx6OjOUogWUtjw=
AIDC电力设备/电网产业链双周度跟踪（10月第1期）,国信证券,2025-10-07 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Z4YGZQGgrDum7InTfG9zRrv2i0TRpfaBDQSu7ScXJ0g=
AIDC电力设备/电网产业链双周度跟踪（9月第2期）,国信证券,2025-09-22 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=6SLLe90LOIOeZ3o0I8R5s8Yz06WZx7yxGZMo70xemQE=
大能源行业2025年第38周周报：8月原煤产量续减，全年供需格局有望大幅改善,华源证券,2025-09-21 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=jnmz2TdRAIsz+g/1WjIfzpuJ9Cy8CaSqzEpzyo32lH0=
公共事业管理行业：从“高质量完成‘十四五’规划”系列主题新闻发布会看未来财税体制改革,大公国际资信评估,2025-09-18 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=OqPo8NCBY06mq07z3k+8Sk4PrKProIBwV7VRRNYs8YI=
电新行业2025年半年报业绩总结：乘势笃行，静待花开,民生证券,2025-09-10 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/bhLfILlSjq4QwHQVSo+cHkD+DYe8iQVVjmFqRDuE18=
AIDC电力设备/电网产业链双周度跟踪（9月第1期）,国信证券,2025-09-08 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Va9AcegGEKJlDqdYQoS8rNatTJ0a3oyCYS+MtNWF7tg=
公用事业—电力天然气周报：电力中长期市场基本规则（征求意见稿）发布，中蒙俄签署天然气管道建设备忘录,信达证券,2025-09-07 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Wk5UM7xch6CAJhVYLJlejn5toBPK45i4hgoJOL35XjQ=
